Thema,Anzahl,Millenials,Gen. X,Boomer
Gesundheitsschutz,1214,23.56,45.63,30.81
Öffentlicher Haushalt,1092,17.49,51.65,30.86
Innere Sicherheit,964,18.67,55.39,25.93
Kommunale Angelegenheiten,943,18.88,52.6,28.53
Migranten,664,23.34,54.97,21.69
Ausländer,664,23.34,54.97,21.69
Schulen,657,18.57,33.49,47.95
Gesundheit,649,23.27,44.07,32.67
Informations- & Kommunikationstechnologien,562,35.59,42.53,21.89
Jugendliche,551,27.59,51.72,20.69
Kinder,551,27.59,51.72,20.69
Landesregierung,532,19.92,41.17,38.91
Wirtschaft,508,21.65,52.76,25.59
Klima,484,15.91,64.88,19.21
Europäische Union,422,18.72,46.45,34.83
Industrie,391,14.58,58.06,27.37
Gewerbliche Wirtschaft,391,14.58,58.06,27.37
Parlament,363,21.49,50.14,28.37
Polizei,345,17.68,55.07,27.25
Hochschulwesen,323,32.51,28.17,39.32
Wohnungswesen,315,17.14,70.16,12.7
Straßenverkehr,309,3.88,68.61,27.51
Abgaben,280,13.93,50.71,35.36
Öffentlicher Dienst,269,7.81,62.83,29.37
Frühkindliche Bildung,264,27.27,54.55,18.18
Öffentliche Verwaltung,259,28.19,45.95,25.87
Umwelt,259,15.83,55.98,28.19
Männer,255,24.71,53.73,21.57
Frauen,255,24.71,53.73,21.57
Erneuerbare Energien,254,25.98,58.27,15.75
Energie,236,21.19,57.2,21.61
Landwirtschaft,236,6.78,69.49,23.73
Arbeitsbedingungen,235,27.23,48.94,23.83
Bodenschätze,234,25.64,53.85,20.51
Kultur,234,10.26,61.97,27.78
Bergbau,234,25.64,53.85,20.51
Kunst,234,10.26,61.97,27.78
Ideologien,232,19.4,46.12,34.48
Recht,229,17.03,63.32,19.65
Staatsaufbau,223,17.04,48.88,34.08
Bevölkerung,220,27.27,52.27,20.45
Gesellschaft,220,27.27,52.27,20.45
Emissionen,210,7.62,71.9,20.48
Immissionen,210,7.62,71.9,20.48
Natur,210,12.86,64.29,22.86
Schadstoffe,210,7.62,71.9,20.48
Landwirtschaftliche Betriebe,201,9.95,60.7,29.35
Raumordnung,201,23.38,54.23,22.39
Bauwesen,196,17.86,66.33,15.82
Tierhaltung,195,12.31,62.05,25.64
Tierschutz,195,12.31,62.05,25.64
Tier,195,12.31,62.05,25.64
Wahlen,188,19.68,50,30.32
Pflege,181,17.13,53.59,29.28
Öffentliches Recht,178,17.42,65.17,17.42
Medien,176,29.55,43.75,26.7
Informationsgesellschaft,176,29.55,43.75,26.7
Lehrer,174,12.64,33.91,53.45
Öffentliche Vergabe,170,18.24,46.47,35.29
Verkehrswegebau,170,5.88,61.18,32.94
Strafrecht,166,16.87,69.28,13.86
Verkehr,164,8.54,62.2,29.27
Justiz,163,9.2,74.85,15.95
Öffentlicher Personenverkehr,160,10,58.13,31.87
Allgemeinbildende Schulen,157,17.83,35.67,46.5
Fernsehen,156,21.79,46.15,32.05
Rundfunk,156,21.79,46.15,32.05
Arbeitsentgelt,154,12.34,50.65,37.01
Bildung,154,20.78,40.26,38.96
Forsten,151,19.21,54.97,25.83
Wald,151,19.21,54.97,25.83
Gerichte & Staatsanwaltschaften,150,6,80,14
Forschung,146,34.93,32.88,32.19
Wissenschaft,146,34.93,32.88,32.19
Ordnungsrecht,140,17.86,57.14,25
Sport,138,15.94,66.67,17.39
Arbeitsmarkt,135,23.7,55.56,20.74
Wasser,135,15.56,62.96,21.48
Datenschutz,132,40.15,48.48,11.36
Verbraucher,132,24.24,56.82,18.94
Gesundheitseinrichtungen,131,17.56,55.73,26.72
Internationale Beziehungen,130,19.23,37.69,43.08
Sozialleistungen,129,23.26,51.94,24.81
Katastrophen- & Zivilschutz,128,14.84,64.84,20.31
Religionsgemeinschaften,122,16.39,45.9,37.7
Lebensgemeinschaften,117,28.21,54.7,17.09
Arbeit & Beschäftigung,116,26.72,48.28,25
Soziales,115,20.87,52.17,26.96
Handel,105,11.43,52.38,36.19
Medizinische Berufe,105,21.9,60.95,17.14
Städtebau,105,14.29,60,25.71
Menschen Mit Behinderungen,103,19.42,50.49,30.1
Berufsausbildung,95,17.89,60,22.11
Nation,94,23.4,40.43,36.17
Luftverkehr,93,4.3,67.74,27.96
Sexuelle Identität,90,34.44,45.56,20
Technologie,90,33.33,52.22,14.44
Finanzausgleich,89,20.22,39.33,40.45
Mittelständische Wirtschaft,89,24.72,46.07,29.21
Juristische Berufe,88,5.68,82.95,11.36
Ernährung,86,20.93,54.65,24.42
Schienenverkehr,86,9.3,54.65,36.05
Fossile Energien,83,24.1,53.01,22.89
Justizvollzug,80,6.25,77.5,16.25
Politische Kräfte,78,25.64,46.15,28.21
Abgeordnete,74,25.68,47.3,27.03
Freizeit,74,18.92,48.65,32.43
Kernenergie,74,24.32,48.65,27.03
Öffentliche Schulden,74,16.22,36.49,47.3
Programme der EU,73,9.59,49.32,41.1
Erwachsenenbildung,72,15.28,34.72,50
Soziale Einrichtungen,72,13.89,63.89,22.22
Alte Menschen,66,22.73,62.12,15.15
Wasserbau,66,15.15,66.67,18.18
Ländlicher Raum,64,14.06,65.62,20.31
Sozialversicherung,63,25.4,53.97,20.63
Menschenrechte,62,27.42,51.61,20.97
Dienstleistungen,57,19.3,57.89,22.81
Abfall,55,7.27,61.82,30.91
Finanzmarkt,50,8,50,42
Finanzverwaltung,49,4.08,34.69,61.22
Spionage,48,18.75,50,31.25
Rettungswesen,48,14.58,66.67,18.75
Verfassungsschutz,48,18.75,50,31.25
Öffentliches Vermögen,47,6.38,48.94,44.68
Verfassungsgerichtsbarkeit,46,4.35,73.91,21.74
Versorgung,46,8.7,34.78,56.52
Arzneimittel,45,22.22,55.56,22.22
Glücksspiel,45,2.22,66.67,31.11
Mitbestimmung,44,13.64,56.82,29.55
Boden,43,32.56,51.16,16.28
Sonstige Gesellschaftliche Gruppen,43,30.23,60.47,9.3
Güterverkehr,42,7.14,52.38,40.48
Urheberschutz,36,30.56,44.44,25
Ausstellungen,35,5.71,57.14,37.14
Messen,35,5.71,57.14,37.14
Abwasser,34,20.59,64.71,14.71
Entwicklungszusammenarbeit,34,14.71,50,35.29
Statistik,34,26.47,50,23.53
Berufsbildende Schulen,32,3.12,46.88,50
Schifffahrt,31,9.68,45.16,45.16
Fischerei,30,16.67,56.67,26.67
Jagd,30,16.67,56.67,26.67
Universitäten,30,23.33,53.33,23.33
Sonderpädagogik,29,17.24,34.48,48.28
Hochschulen für Angewandte Wissenschaften,26,30.77,26.92,42.31
Außenwirtschaft,24,12.5,41.67,45.83
Psychiatrie,24,12.5,70.83,16.67
Stiftung,24,8.33,54.17,37.5
Denkmalpflege,23,17.39,60.87,21.74
Denkmalschutz,23,17.39,60.87,21.74
Tierkrankheiten,23,13.04,56.52,30.43
Bundesregierung,18,33.33,55.56,11.11
Organe der EU,17,17.65,35.29,47.06
Printmedien,17,29.41,47.06,23.53
Tod,17,23.53,64.71,11.76
Privatschulen,16,31.25,25,43.75
Zivilrecht,16,18.75,68.75,12.5
Kunst- & Musikhochschulen,15,40,20,40
Versicherungen,13,0,53.85,46.15
Landwirtschaftliche Berufe,12,0,75,25
Agrarmarkt,11,0,81.82,18.18
Justizverwaltung,10,10,70,20
Rauschmittel,10,20,60,20
Gewerbeaufsicht,9,22.22,77.78,0
Verteidigung,7,14.29,57.14,28.57
Europapolitik,6,16.67,33.33,50
Preis- & Kartellrecht,6,0,66.67,33.33
Vermögen,6,0,33.33,66.67
Haushaltskontrolle,5,0,100,0
Rüstung,5,20,40,40
