RB_ID,RB_Name,WAHLPERIODE,NR,DATUM,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
184166,Lüders,2,02/1,06.10.1953,,Alterspräsidentin,Dr.,,,,
184167,Lüders,2,02/1,06.10.1953,,Alterspräsidentin,Dr.,,,,
184168,Lüders,2,02/1,06.10.1953,,Alterspräsidentin,Dr.,,,,
184169,Brentano,2,02/1,06.10.1953,,,Dr.,von,,CDU/CSU,
184170,Lüders,2,02/1,06.10.1953,,Alterspräsidentin,Dr.,,,,
184171,Lüders,2,02/1,06.10.1953,,Alterspräsidentin,Dr.,,,,
184172,Ehlers,2,02/1,06.10.1953,,,D. Dr.,,,CDU/CSU,
184173,Lüders,2,02/1,06.10.1953,,Alterspräsidentin,Dr.,,,,
184174,Ehlers,2,02/1,06.10.1953,,Präsident,D. Dr.,,,,
184175,Schmid	(Tübingen),2,02/1,06.10.1953,,,Dr.,,,SPD,Tübingen
184176,Ehlers,2,02/1,06.10.1953,,Präsident,D. Dr.,,,,
184177,Schäfer,2,02/1,06.10.1953,,,Dr.,,,FDP,
184178,Ehlers,2,02/1,06.10.1953,,Präsident,D. Dr.,,,,
184179,Jaeger,2,02/1,06.10.1953,,,Dr.,,,CDU/CSU,
184180,Ehlers,2,02/1,06.10.1953,,Präsident,D. Dr.,,,,
184181,Ehlers,2,02/2,09.10.1953,,Präsident,D. Dr.,,,,
184182,Ehlers,2,02/2,09.10.1953,,Präsident,D. Dr.,,,,
184183,Ehlers,2,02/2,09.10.1953,,Präsident,D. Dr.,,,,
184184,Ehlers,2,02/2,09.10.1953,,Präsident,D. Dr.,,,,
184185,Ehlers,2,02/2,09.10.1953,,Präsident,D. Dr.,,,,
184186,Adenauer,2,02/2,09.10.1953,,,Dr.,,,CDU/CSU,
184187,Ehlers,2,02/2,09.10.1953,,Präsident,D. Dr.,,,,
184188,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184189,Rösch,2,02/3,20.10.1953,Schriftführerin,,,,,,
184190,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184191,Rösch,2,02/3,20.10.1953,Schriftführerin,,,,,,
184192,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184193,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184194,Adenauer,2,02/3,20.10.1953,Bundeskanzler,,Dr.,,,,
184195,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184196,Schröder,2,02/3,20.10.1953,Bundesminister des Innern,,Dr.,,,,
184197,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184198,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184199,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184200,Erhard,2,02/3,20.10.1953,Bundesminister für Wirtschaft,,Dr.,,,,
184201,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184202,Lübke,2,02/3,20.10.1953,"Bundesminister für Ernährung, Landwirtschaft und Forsten",,Dr.,,,,
184203,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184204,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184205,Seebohm,2,02/3,20.10.1953,Bundesminister für Verkehr,,Dr.,,,,
184206,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184207,Preusker,2,02/3,20.10.1953,Bundesminister für Wohnungsbau,,Dr.,,,,
184208,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184209,Oberländer,2,02/3,20.10.1953,Bundesminister für Vertriebene,,Dr.,,,,
184210,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184211,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184212,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184213,Wuermeling,2,02/3,20.10.1953,Bundesminister für Familienfragen,,Dr.,,,,
184214,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184215,Tillmanns,2,02/3,20.10.1953,Bundesminister für besondere Aufgaben,,Dr.,,,,
184216,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184217,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
184218,Schäfer,2,02/3,20.10.1953,Bundesminister für besondere Aufgaben,,Dr.,,,,
184219,Ehlers,2,02/3,20.10.1953,,Präsident,D. Dr.,,,,
