RB_ID,RB_Name,WAHLPERIODE,NR,DATUM,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
320489,Borm,6,06/1,20.10.1969,,,Alterspräsident,,,,,
320490,Borm,6,06/1,20.10.1969,,,Alterspräsident,,,,,
320491,Barzel,6,06/1,20.10.1969,,,,Dr.,,,CDU/CSU,
320492,Borm,6,06/1,20.10.1969,,,Alterspräsident,,,,,
320493,Borm,6,06/1,20.10.1969,,,Alterspräsident,,,,,
320494,Hassel,6,06/1,20.10.1969,,,Präsident,,von,,,
320495,Hassel,6,06/2,21.10.1969,,,Präsident,,von,,,
320496,Hassel,6,06/2,21.10.1969,,,Präsident,,von,,,
320497,Brandt,6,06/2,21.10.1969,,,,,,,SPD,
320498,Hassel,6,06/3,21.10.1969,,,Präsident,,von,,,
320499,Hassel,6,06/3,21.10.1969,,,Präsident,,von,,,
320500,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320501,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320502,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320503,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320504,E. h. Möller,6,06/4,22.10.1969,,Bundesminister der Finanzen,,Dr. h. c.,,,,
320505,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320506,Schiller,6,06/4,22.10.1969,,Bundesminister für Wirtschaft,,Dr.,,,,
320507,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320508,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320509,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320510,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320511,Strobel,6,06/4,22.10.1969,weiblich,"Bundesminister für Jugend, Familie und Gesundheit",,,,,,
320512,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320513,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320514,Lauritzen,6,06/4,22.10.1969,,Bundesminister für Städtebau und Wohnungswesen,,Dr.,,,,
320515,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320516,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320517,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320518,Eppler,6,06/4,22.10.1969,,Bundesminister für wirtschaftliche Zusammenarbeit,,Dr.,,,,
320519,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320520,Ehmke,6,06/4,22.10.1969,,Bundesminister für besondere Aufgaben,,Dr.,,,,
320521,Hassel,6,06/4,22.10.1969,,,Präsident,,von,,,
320522,Hassel,6,06/5,28.10.1969,,,Präsident,,von,,,
320523,Funke,6,06/5,28.10.1969,weiblich,,,,,,FDP,
320524,Hassel,6,06/5,28.10.1969,,,Präsident,,von,,,
320525,Schmid,6,06/5,28.10.1969,,,,Dr.,,,SPD,Frankfurt
320526,Hassel,6,06/5,28.10.1969,,,Präsident,,von,,,
320527,Jäger,6,06/5,28.10.1969,,,,Dr.,,,CDU/CSU,
320528,Hassel,6,06/5,28.10.1969,,,Präsident,,von,,,
