RB_ID,RB_Name,WAHLPERIODE,NR,DATUM
217524,Dr. Kohl (CDU/CSU):,9,09/1,04.11.1980
217525,Stücklen (CDU/CSU):,9,09/1,04.11.1980
217526,Leber (SPD):,9,09/1,04.11.1980
217527,Dr. von Weizsäcker (CDU/CSU):,9,09/1,04.11.1980
217528,Wurbs (FDP):,9,09/1,04.11.1980
217529,Schmidt (Hamburg) (SPD):,9,09/2,05.11.1980
217530,"Dr. Vogel, Bundesminister der Justiz:",9,09/4,06.11.1980
217531,"Dr. Vogel, Bundesminister der Justiz:",9,09/4,06.11.1980
217532,"Dr. Graf Lambsdorff, Bundesminister für Wirtschaft:",9,09/4,06.11.1980
217533,"Dr. Graf Lambsdorff, Bundesminister für Wirtschaft:",9,09/4,06.11.1980
217534,"Dr. Ehrenberg, Bundesminister für Arbeit und Sozialordnung:",9,09/4,06.11.1980
217535,"Dr. Ehrenberg, Bundesminister für Arbeit und Sozialordnung:",9,09/4,06.11.1980
217536,"Dr. Apel, Bundesminister der Verteidigung:",9,09/4,06.11.1980
217537,"Dr. Hauff, Bundesminister für Verkehr:",9,09/4,06.11.1980
217538,"Dr. Hauff, Bundesminister für Verkehr:",9,09/4,06.11.1980
217539,"Dr. Haack, Bundesminister für Raumordnung, Bauwesen und Städtebau:",9,09/4,06.11.1980
217540,"Dr. von Bülow, Bundesminister für Forschung und Technologie:",9,09/4,06.11.1980
217541,"Dr. von Bülow, Bundesminister für Forschung und Technologie:",9,09/4,06.11.1980
217542,"Dr. Schmude, Bundesminister für Bildung und Wissenschaft:",9,09/4,06.11.1980
217543,Dr. Kohl (CDU/CSU):,9,09/6,26.11.1980
217544,Brandt (SPD):,9,09/6,26.11.1980
217545,Hoppe (FDP):,9,09/6,26.11.1980
217546,Dr. Zimmermann (CDU/CSU):,9,09/6,26.11.1980
217547,Dr. Zimmermann (CDU/CSU):,9,09/6,26.11.1980
217548,Wehner (SPD):,9,09/6,26.11.1980
217549,Dr. Zimmermann (CDU/CSU):,9,09/6,26.11.1980
217550,Wehner (SPD):,9,09/6,26.11.1980
217551,Dr. Zimmermann (CDU/CSU):,9,09/6,26.11.1980
217552,Dr. Zimmermann (CDU/CSU):,9,09/6,26.11.1980
217553,Dr. Zimmermann (CDU/CSU):,9,09/6,26.11.1980
217554,Dr. Zimmermann (CDU/CSU):,9,09/6,26.11.1980
217555,Dr. Wörner (CDU/CSU):,9,09/6,26.11.1980
217556,Dr. Mertes (Gerolstein) (CDU/CSU):,9,09/6,26.11.1980
217557,Horn (SPD):,9,09/6,26.11.1980
217558,Bahr (SPD):,9,09/6,26.11.1980
217559,Bahr (SPD):,9,09/6,26.11.1980
217560,Dr. Mertes (Gerolstein) (CDU/CSU):,9,09/6,26.11.1980
217561,Bahr (SPD):,9,09/6,26.11.1980
217562,Dr. Wörner (CDU/CSU):,9,09/6,26.11.1980
217563,Dr. Wörner (CDU/CSU):,9,09/6,26.11.1980
217564,Dr. Corterier (SPD):,9,09/6,26.11.1980
217565,Dr. Wörner (CDU/CSU):,9,09/6,26.11.1980
217566,Dr. Wörner (CDU/CSU):,9,09/6,26.11.1980
217567,Dr. Ehmke (SPD):,9,09/6,26.11.1980
217568,Möllemann (FDP):,9,09/6,26.11.1980
217569,"Dr. Apel, Bundesminister der Verteidigung:",9,09/6,26.11.1980
217570,"Dr. Apel, Bundesminister der Verteidigung:",9,09/6,26.11.1980
217571,Petersen (CDU/CSU):,9,09/6,26.11.1980
217572,"Dr. Apel, Bundesminister der Verteidigung: Nein, das sage ich überhaupt nicht, hochverehrter Herr Kollege Petersen, sondern ich sage:",9,09/6,26.11.1980
217573,"Dr. Apel, Bundesminister der Verteidigung:",9,09/6,26.11.1980
217574,"Dr. Apel, Bundesminister der Verteidigung: Sie, meine Damen und Herren, werden ja in Ihrer Zeitplanung irgendwann im Januar oder Februar über den Bundeshaushalt 1981 debattieren. Abgerechnet wird, wie sehr richtig gesagt wurde, am Ende des Jahres. Mich erinnert diese Debatte an die Debatte vor einem Jahr, wo wir ähnlich argumentiert haben. Und siehe da:",9,09/6,26.11.1980
217575,"Dr. Apel, Bundesminister der Verteidigung:",9,09/6,26.11.1980
217576,Dr. Wörner (CDU/CSU):,9,09/6,26.11.1980
217577,"Dr. Apel, Bundesminister der Verteidigung:",9,09/6,26.11.1980
217578,"Dr. Apel, Bundesminister der Verteidigung:",9,09/6,26.11.1980
217579,Möllemann (FDP):,9,09/6,26.11.1980
217580,"Dr. Apel, Bundesminister der Verteidigung:",9,09/6,26.11.1980
217581,"Dr. Apel, Bundesminister der Verteidigung:",9,09/6,26.11.1980
217582,Möllemann (FDP):,9,09/6,26.11.1980
217583,Möllemann (FDP):,9,09/6,26.11.1980
217584,"Dr. Apel, Bundesminister der Verteidigung:",9,09/6,26.11.1980
217585,Dr. Holtz (SPD):,9,09/6,26.11.1980
217586,Pieroth (CDU/CSU):,9,09/6,26.11.1980
217587,Dr. Vohrer (FDP):,9,09/6,26.11.1980
217588,Dr. Vohrer (FDP):,9,09/6,26.11.1980
217589,Pieroth (CDU/CSU):,9,09/6,26.11.1980
217590,Dr. Vohrer (FDP):,9,09/6,26.11.1980
217591,Kiep (CDU/CSU):,9,09/7,27.11.1980
217592,Kiep (CDU/CSU):,9,09/7,27.11.1980
217593,Dr. Jens (SPD):,9,09/7,27.11.1980
217594,Kiep (CDU/CSU):,9,09/7,27.11.1980
217595,Kiep (CDU/CSU):,9,09/7,27.11.1980
217596,Kühbacher (SPD):,9,09/7,27.11.1980
217597,Kiep (CDU/CSU):,9,09/7,27.11.1980
217598,Roth (SPD):,9,09/7,27.11.1980
217599,Roth (SPD):,9,09/7,27.11.1980
217600,Dr. von Wartenberg (CDU/CSU):,9,09/7,27.11.1980
217601,Roth (SPD):,9,09/7,27.11.1980
217602,Dr. Haussmann (FDP):,9,09/7,27.11.1980
217603,"Dr. Graf Lambsdorff, Bundesminister für Wirtschaft: Herr Präsident! Meine sehr verehrten Damen! Meine Herren! Es recht zu machen jedermann, ist eine Kunst, die niemand kann, sagt ein deutsches Sprichwort. Gestern habe ich aus der Feder des Vorsitzenden der Jungsozialisten in der Zeitung gelesen: Die die Wirtschaftspolitik betreffenden Teile der Regierungserklärung sehen so aus, als seien sie von Lambsdorff diktiert worden. Heute höre ich von dem Kollegen Kiep:",9,09/7,27.11.1980
217604,Dr. Jens (SPD):,9,09/7,27.11.1980
217605,Roth (SPD):,9,09/7,27.11.1980
217606,Westphal (SPD):,9,09/7,27.11.1980
217607,Kiep (CDU/CSU):,9,09/7,27.11.1980
217608,Kiep (CDU/CSU):,9,09/7,27.11.1980
217609,Dr. Blüm (CDU/CSU):,9,09/7,27.11.1980
217610,Rohde (SPD):,9,09/7,27.11.1980
217611,Rohde (SPD):,9,09/7,27.11.1980
217612,Franke (CDU/CSU):,9,09/7,27.11.1980
217613,Rohde (SPD):,9,09/7,27.11.1980
217614,Cronenberg (FDP):,9,09/7,27.11.1980
217615,Cronenberg (FDP):,9,09/7,27.11.1980
217616,Cronenberg (FDP):,9,09/7,27.11.1980
217617,Höpfinger (CDU/CSU):,9,09/7,27.11.1980
217618,Cronenberg (FDP):,9,09/7,27.11.1980
217619,"Dr. Ehrenberg, Bundesminister für Arbeit und Sozialordnung:",9,09/7,27.11.1980
217620,"Dr. Ehrenberg, Bundesminister für Arbeit und Sozialordnung:",9,09/7,27.11.1980
217621,Höpfinger (CDU/CSU):,9,09/7,27.11.1980
217622,"Dr. Ehrenberg, Bundesminister für Arbeit und Sozialordnung:",9,09/7,27.11.1980
217623,Hölscher (FDP):,9,09/7,27.11.1980
217624,Hölscher (FDP):,9,09/7,27.11.1980
217625,Kuhlwein (SPD):,9,09/7,27.11.1980
217626,Kuhlwein (SPD):,9,09/7,27.11.1980
217627,Kuhlwein (SPD):,9,09/7,27.11.1980
217628,Dr. Wex [CDU/CSU]:,9,09/7,27.11.1980
217629,Dr. Wörner (CDU/CSU):,9,09/8,28.11.1980
217630,Dr. Wörner (CDU/CSU):,9,09/8,28.11.1980
217631,Dr. Wörner (CDU/CSU):,9,09/8,28.11.1980
217632,Dr. Wörner (CDU/CSU):,9,09/8,28.11.1980
217633,Dr. Kohl (CDU/CSU):,9,09/8,28.11.1980
217634,Dr. Dregger (CDU/CSU):,9,09/8,28.11.1980
217635,Dr. Dregger (CDU/CSU):,9,09/8,28.11.1980
217636,Liedtke (SPD):,9,09/8,28.11.1980
217637,Liedtke (SPD):,9,09/8,28.11.1980
217638,Dr. Wörner (CDU/CSU):,9,09/8,28.11.1980
217639,Liedtke (SPD):,9,09/8,28.11.1980
217640,Erhard (Bad Schwalbach) (CDU/CSU):,9,09/8,28.11.1980
217641,Liedtke (SPD):,9,09/8,28.11.1980
217642,Dr. Hirsch (FDP):,9,09/8,28.11.1980
217643,Dr. Hirsch (FDP): Selbstverständlich! Vizepräsident Dr. von Weizsäcker:,9,09/8,28.11.1980
217644,Dr. Dregger (CDU/CSU):,9,09/8,28.11.1980
217645,Dr. Hirsch (FDP):,9,09/8,28.11.1980
217646,Dr. Laufs (CDU/CSU):,9,09/9,10.12.1980
217647,Paterna (SPD):,9,09/9,10.12.1980
217648,Dr. Laufs (CDU/CSU):,9,09/9,10.12.1980
217649,Dr. Laufs (CDU/CSU):,9,09/9,10.12.1980
217650,Dr. Hirsch (FDP):,9,09/9,10.12.1980
217651,Broil (CDU/CSU):,9,09/9,10.12.1980
217652,Dr. Laufs (CDU/CSU):,9,09/9,10.12.1980
217653,Dr. Laufs (CDU/CSU):,9,09/9,10.12.1980
217654,"Dr. Böhme, Parl. Staatssekretär beim Bundesminister der Finanzen:",9,09/9,10.12.1980
217655,Dr. Müller (CDU/CSU):,9,09/9,10.12.1980
217656,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217657,Dr. Müller (CDU/CSU):,9,09/9,10.12.1980
217658,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217659,Dr. Vohrer (FDP):,9,09/9,10.12.1980
217660,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217661,Westphal (SPD):,9,09/9,10.12.1980
217662,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217663,Dr. Voss (CDU/CSU):,9,09/9,10.12.1980
217664,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217665,Jäger (Wangen) (CDU/CSU):,9,09/9,10.12.1980
217666,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217667,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217668,"Dr. Böhme, Parl. Staatssekretär: Zunächst zur Frage 14:",9,09/9,10.12.1980
217669,Dr. Spöri (SPD):,9,09/9,10.12.1980
217670,"Dr. Böhme, Parl. Staatssekretär: Herr Kollege, ich verstehe Ihre Frage sehr gut. In dem Urteil findet aber eine Abwägung statt. Auf der einen Seite steht der Informationsanspruch der Öffentlichkeit. Dies wurde bejaht nach § 30 Abs. 4 Nr. 5 der Reichsabgabenordnung. Im zwingenden öffentlichen Interesse kann ein Informationsanspruch bestehen. Insofern ist dies eine neue Lage durch das Urteil des Oberlandesgerichts Hamm. Auf der anderen Seite steht das Schutzbedürfnis des Betroffenen. Insofern sind dies zwei Teile in dem Urteil. Zu dem zweiten Teil hat das Urteil ausgeführt — ich darf zitieren — :",9,09/9,10.12.1980
217671,Dr. Spöri (SPD):,9,09/9,10.12.1980
217672,"Dr. Böhme, Parl. Staatssekretär: Als Antwort führe ich am besten aus, was das Urteil weiter sagt. Ich zitiere:",9,09/9,10.12.1980
217673,Dr. Spöri (SPD):,9,09/9,10.12.1980
217674,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217675,"Dr. Spörl (SPD): Ist es nicht so, Herr Staatssekretär, daß angesichts der Knappheit öffentlicher Mittel ein Steuerausfall durch Steuerbegünstigungen in einem Umfang von Hunderten von Millionen DM durchaus einen hinreichenden Grund darstellt, um zu sagen:",9,09/9,10.12.1980
217676,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217677,Kühbacher (SPD):,9,09/9,10.12.1980
217678,Kühbacher (SPD):,9,09/9,10.12.1980
217679,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217680,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217681,"Dr. Böhme, Parl. Staatsekretär:",9,09/9,10.12.1980
217682,Hoffie (FDP):,9,09/9,10.12.1980
217683,"Dr. Böhme, Parl. Staatsekretär:",9,09/9,10.12.1980
217684,Dr. Spöri (SPD):,9,09/9,10.12.1980
217685,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217686,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217687,Dr. Voss (CDU/CSU):,9,09/9,10.12.1980
217688,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217689,Dr. Voss (CDU/CSU):,9,09/9,10.12.1980
217690,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217691,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217692,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217693,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217694,Carstens (Emstek) (CDU/CSU):,9,09/9,10.12.1980
217695,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217696,Jäger (Wangen) (CDU/CSU):,9,09/9,10.12.1980
217697,"Dr. Böhme, Parl. Staatssekretär:",9,09/9,10.12.1980
217698,Dr. Müller (CDU/CSU):,9,09/9,10.12.1980
217699,Dr. Müller (CDU/CSU):,9,09/9,10.12.1980
217700,Würtz (SPD):,9,09/9,10.12.1980
217701,Würtz (SPD):,9,09/9,10.12.1980
217702,Grobecker (SPD):,9,09/9,10.12.1980
217703,Grobecker (SPD):,9,09/9,10.12.1980
217704,Metz (CDU/CSU):,9,09/9,10.12.1980
217705,Börnsen (SPD):,9,09/9,10.12.1980
217706,Grobecker (SPD):,9,09/9,10.12.1980
217707,Grobecker (SPD):,9,09/9,10.12.1980
217708,Würtz (SPD):,9,09/9,10.12.1980
217709,Carstens (Emstek) (CDU/CSU):,9,09/9,10.12.1980
217710,Dr. Voss (CDU/CSU):,9,09/9,10.12.1980
217711,Dr. Voss (CDU/CSU):,9,09/9,10.12.1980
217712,Dr. Czaja (CDU/CSU):,9,09/9,10.12.1980
217713,Rapp (Göppingen) (SPD):,9,09/9,10.12.1980
217714,Rapp (Göppingen) (SPD):,9,09/9,10.12.1980
217715,Dr. Spöri (SPD):,9,09/9,10.12.1980
217716,Wolfram (Recklinghausen) (SPD):,9,09/9,10.12.1980
217717,Rapp (Göppingen) (SPD):,9,09/9,10.12.1980
217718,Dr. Klejdzinski (SPD):,9,09/9,10.12.1980
217719,Dr. Spörl (SPD):,9,09/9,10.12.1980
217720,Schröder (Wilhelminenhof) (CDU/CSU):,9,09/9,10.12.1980
217721,Schröder (Wilhelminenhof) (CDU/CSU):,9,09/9,10.12.1980
217722,Werner (CDU/CSU):,9,09/9,10.12.1980
217723,Werner (CDU/CSU):,9,09/9,10.12.1980
217724,"Dr. Kreutzmann, Parl. Staatssekretär beim Bundesminister für innerdeutsche Beziehungen:",9,09/9,10.12.1980
217725,"Dr. Kreutzmann, Parl. Staatssekretär:",9,09/9,10.12.1980
217726,Dr. Hennig (CDU/CSU):,9,09/9,10.12.1980
217727,"Dr. Kreutzmann, Parl. Staatssekretär:",9,09/9,10.12.1980
217728,Dr. Hennig (CDU/CSU):,9,09/9,10.12.1980
217729,"Dr. Kreutzmann, Parl. Staatssekretär:",9,09/9,10.12.1980
217730,Dr. Hennig (CDU/CSU):,9,09/9,10.12.1980
217731,"Dr. Kreutzmann, Parl. Staatssekretär:",9,09/9,10.12.1980
217732,Dr. Hennig (CDU/CSU):,9,09/9,10.12.1980
217733,"Dr. Kreutzmann, Parl. Staatssekretär: Herr Kollege, ich glaube, daß diese Wertungen hier in diesem Hause in ein schwebendes Verfahren eingreifen. Ich möchte noch einmal sagen:",9,09/9,10.12.1980
217734,Reddemann (CDU/CSU):,9,09/9,10.12.1980
217735,"Dr. Kreutzmann, Parl. Staatssekretär:",9,09/9,10.12.1980
217736,Jäger (Wangen) (CDU/CSU):,9,09/9,10.12.1980
217737,"Dr. Kreutzmann, Parl. Staatssekretär:",9,09/9,10.12.1980
217738,Kunz (Berlin) (CDU/CSU):,9,09/9,10.12.1980
217739,"Dr. Kreutzmann, Parl. Staatssekretär:",9,09/9,10.12.1980
217740,Kunz (Berlin) (CDU/CSU):,9,09/9,10.12.1980
217741,Kunz (Berlin) (CDU/CSU):,9,09/9,10.12.1980
217742,"Dr. Kreutzmann, Parl. Staatsekretär:",9,09/9,10.12.1980
217743,Dr. Olderog (CDU/CSU):,9,09/9,10.12.1980
217744,"Dr. Kreutzmann, Parl. Staatssekretär:",9,09/9,10.12.1980
217745,Dr. Schöfberger (SPD):,9,09/9,10.12.1980
217746,Dr. Soell (SPD):,9,09/9,10.12.1980
217747,Kirschner (SPD):,9,09/9,10.12.1980
217748,Kirschner (SPD):,9,09/9,10.12.1980
217749,Stutzer (CDU/CSU):,9,09/9,10.12.1980
217750,Stutzer (CDU/CSU):,9,09/9,10.12.1980
217751,Thüsing (SPD):,9,09/9,10.12.1980
217752,Stutzer (CDU/CSU):,9,09/9,10.12.1980
