raw_r_partei;round_r_partei;square_r_partei;raw_f_partei;round_f_partei;square_f_partei
BP;(BP);[BP];BP;(BP);[BP]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];Bündnis 90/DIE GRÜNEN;(Bündnis 90/DIE GRÜNEN);[Bündnis 90/DIE GRÜNEN]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];Bündnis 90/GRÜNE;(Bündnis 90/GRÜNE);[Bündnis 90/GRÜNE]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];CRÜNE;(CRÜNE);[CRÜNE]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];DIE GRÜNEN;(DIE GRÜNEN);[DIE GRÜNEN]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];GRUNE;(GRUNE);[GRUNE]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];GRÜNE;(GRÜNE);[GRÜNE]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];GRÜNE/Bündnis 90;(GRÜNE/Bündnis 90);[GRÜNE/Bündnis 90]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];GRUÑE;(GRUÑE);[GRUÑE]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];DIE GRÜNEN/BÜNDNIS 90;(DIE GRÜNEN/BÜNDNIS 90);[DIE GRÜNEN/BÜNDNIS 90]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];BÜNDNIS 90/DIE GRÜNEN];(BÜNDNIS 90/DIE GRÜNEN]);[BÜNDNIS 90/DIE GRÜNEN]]
BÜNDNIS 90/DIE GRÜNEN;(BÜNDNIS 90/DIE GRÜNEN);[BÜNDNIS 90/DIE GRÜNEN];GRÜNE.;(GRÜNE.);[GRÜNE.]
CDU/CSU;(CDU/CSU);[CDU/CSU];[CDU/CSU;([CDU/CSU);[[CDU/CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDSU/CSU;(CDSU/CSU);[CDSU/CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDT T/CSU;(CDT T/CSU);[CDT T/CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDTJ/CSU;(CDTJ/CSU);[CDTJ/CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU;(CDU);[CDU]
CDU/CSU;(CDU/CSU);[CDU/CSU];"CDU ""CSU";"(CDU ""CSU)";"[CDU ""CSU]"
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU %CSU;(CDU %CSU);[CDU %CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU / CDU;(CDU / CDU);[CDU / CDU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU / CSU;(CDU / CSU);[CDU / CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU //CSU;(CDU //CSU);[CDU //CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU /CSU;(CDU /CSU);[CDU /CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU /CSU 1;(CDU /CSU 1);[CDU /CSU 1]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU /CUS;(CDU /CUS);[CDU /CUS]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU CSU;(CDU CSU);[CDU CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU/ /CSU;(CDU/ /CSU);[CDU/ /CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU/ CDU;(CDU/ CDU);[CDU/ CDU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU/ CSU;(CDU/ CSU);[CDU/ CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU//CSU;(CDU//CSU);[CDU//CSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU/C$U;(CDU/C$U);[CDU/C$U]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU/CCSU;(CDU/CCSU);[CDU/CCSU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU/CCU;(CDU/CCU);[CDU/CCU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU/CDU;(CDU/CDU);[CDU/CDU]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU/CDU.;(CDU/CDU.);[CDU/CDU.]
CDU/CSU;(CDU/CSU);[CDU/CSU];CDU/CS;(CDU/CS);[CDU/CS]
