ID;NACHNAME;VORNAME;ORTSZUSATZ;ADEL;PRAEFIX;ANREDE_TITEL;GESCHLECHT;BERUF;PARTEI_KURZ;WP
11000001;Abelein;Manfred;;;;Dr.;männlich;Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor;CDU;5
11000001;Abelein;Manfred;;;;Dr.;männlich;Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor;CDU;6
11000001;Abelein;Manfred;;;;Dr.;männlich;Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor;CDU;7
11000001;Abelein;Manfred;;;;Dr.;männlich;Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor;CDU;8
11000001;Abelein;Manfred;;;;Dr.;männlich;Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor;CDU;9
11000001;Abelein;Manfred;;;;Dr.;männlich;Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor;CDU;10
11000001;Abelein;Manfred;;;;Dr.;männlich;Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor;CDU;11
11000002;Achenbach;Ernst;;;;Dr.;männlich;Rechtsanwalt und Notar;FDP;3
11000002;Achenbach;Ernst;;;;Dr.;männlich;Rechtsanwalt und Notar;FDP;4
11000002;Achenbach;Ernst;;;;Dr.;männlich;Rechtsanwalt und Notar;FDP;5
11000002;Achenbach;Ernst;;;;Dr.;männlich;Rechtsanwalt und Notar;FDP;6
11000002;Achenbach;Ernst;;;;Dr.;männlich;Rechtsanwalt und Notar;FDP;7
11000003;Ackermann;Annemarie;;;;;weiblich;Hilfsreferentin;CDU;2
11000003;Ackermann;Annemarie;;;;;weiblich;Hilfsreferentin;CDU;3
11000003;Ackermann;Annemarie;;;;;weiblich;Hilfsreferentin;CDU;4
11000004;Ackermann;Else;;;;Dr.;weiblich;Ärztin;CDU;11
11000004;Ackermann;Else;;;;Dr.;weiblich;Ärztin;CDU;12
11000005;Adam;Ulrich;;;;;männlich;Mathematiker, Geschäftsführer;CDU;12
11000005;Adam;Ulrich;;;;;männlich;Mathematiker, Geschäftsführer;CDU;13
11000005;Adam;Ulrich;;;;;männlich;Mathematiker, Geschäftsführer;CDU;14
11000005;Adam;Ulrich;;;;;männlich;Mathematiker, Geschäftsführer;CDU;15
11000005;Adam;Ulrich;;;;;männlich;Mathematiker, Geschäftsführer;CDU;16
11000007;Adams;Rudolf;;;;;männlich;Gewerkschaftssekretär;SPD;5
11000007;Adams;Rudolf;;;;;männlich;Gewerkschaftssekretär;SPD;6
11000007;Adams;Rudolf;;;;;männlich;Gewerkschaftssekretär;SPD;7
11000007;Adams;Rudolf;;;;;männlich;Gewerkschaftssekretär;SPD;8
11000008;Adelmann;Raban;;Graf;;;männlich;Landwirt, Weingutbesitzer;CDU;3
11000009;Adenauer;Konrad;;;;Dr.;männlich;Bundeskanzler;CDU;1
11000009;Adenauer;Konrad;;;;Dr.;männlich;Bundeskanzler;CDU;2
11000009;Adenauer;Konrad;;;;Dr.;männlich;Bundeskanzler;CDU;3
11000009;Adenauer;Konrad;;;;Dr.;männlich;Bundeskanzler;CDU;4
11000009;Adenauer;Konrad;;;;Dr.;männlich;Bundeskanzler;CDU;5
11000010;Adler;Brigitte;;;;;weiblich;Reallehrerin;SPD;11
11000010;Adler;Brigitte;;;;;weiblich;Reallehrerin;SPD;12
11000010;Adler;Brigitte;;;;;weiblich;Reallehrerin;SPD;13
11000010;Adler;Brigitte;;;;;weiblich;Reallehrerin;SPD;14
11000011;Adorno;Eduard;;;;;männlich;Dipl.-Landwirt, Landesminister;CDU;4
11000011;Adorno;Eduard;;;;;männlich;Dipl.-Landwirt, Landesminister;CDU;5
11000011;Adorno;Eduard;;;;;männlich;Dipl.-Landwirt, Landesminister;CDU;6
11000012;Aerssen;Jochen;;;van;Dr.;männlich;Rechtsanwalt, Diplom-Volkswirt;CDU;8
11000012;Aerssen;Jochen;;;van;Dr.;männlich;Rechtsanwalt, Diplom-Volkswirt;CDU;9
11000013;Agatz;Willi;;;;;männlich;Bergmann, Gewerkschaftsfunktionär;KPD;1
11000014;Ahlers;Conrad;;;;;männlich;Journalist;SPD;7
11000014;Ahlers;Conrad;;;;;männlich;Journalist;SPD;8
11000015;Ahrens;Adolf;;;;;männlich;Kapitän;DP;1
11000016;Ahrens;Hermann;Salzgitter;;;;männlich;Verwaltungsbeamter;SPD;5
11000017;Ahrens;Karl;;;;Dr.;männlich;Ministerialdirigent;SPD;6
11000017;Ahrens;Karl;;;;Dr.;männlich;Ministerialdirigent;SPD;7
11000017;Ahrens;Karl;;;;Dr.;männlich;Ministerialdirigent;SPD;8
11000017;Ahrens;Karl;;;;Dr.;männlich;Ministerialdirigent;SPD;9
11000017;Ahrens;Karl;;;;Dr.;männlich;Ministerialdirigent;SPD;10
11000017;Ahrens;Karl;;;;Dr.;männlich;Ministerialdirigent;SPD;11
11000018;Aigner;Heinrich;;;;Dr.;männlich;Regierungsrat;CSU;3
11000018;Aigner;Heinrich;;;;Dr.;männlich;Regierungsrat;CSU;4
11000018;Aigner;Heinrich;;;;Dr.;männlich;Regierungsrat;CSU;5
11000018;Aigner;Heinrich;;;;Dr.;männlich;Regierungsrat;CSU;6
11000018;Aigner;Heinrich;;;;Dr.;männlich;Regierungsrat;CSU;7
11000018;Aigner;Heinrich;;;;Dr.;männlich;Regierungsrat;CSU;8
11000019;Alber;Siegbert;;;;;männlich;Regierungsrat;CDU;6
11000019;Alber;Siegbert;;;;;männlich;Regierungsrat;CDU;7
11000019;Alber;Siegbert;;;;;männlich;Regierungsrat;CDU;8
11000019;Alber;Siegbert;;;;;männlich;Regierungsrat;CDU;6
11000019;Alber;Siegbert;;;;;männlich;Regierungsrat;CDU;7
11000019;Alber;Siegbert;;;;;männlich;Regierungsrat;CDU;8
11000020;Albers;Johannes;;;;;männlich;Geschäftsführer;CDU;1
11000020;Albers;Johannes;;;;;männlich;Geschäftsführer;CDU;2
11000021;Albertz;Luise;;;;;weiblich;Buchhalterin;SPD;1
11000021;Albertz;Luise;;;;;weiblich;Buchhalterin;SPD;2
11000021;Albertz;Luise;;;;;weiblich;Buchhalterin;SPD;3
11000021;Albertz;Luise;;;;;weiblich;Buchhalterin;SPD;4
11000021;Albertz;Luise;;;;;weiblich;Buchhalterin;SPD;5
11000022;Albowitz;Ina;;;;;weiblich;Werbekauffrau, Hausfrau;FDP;12
11000022;Albowitz;Ina;;;;;weiblich;Werbekauffrau, Hausfrau;FDP;13
11000022;Albowitz;Ina;;;;;weiblich;Werbekauffrau, Hausfrau;FDP;14
11000022;Albowitz-Freytag;Ina;;;;;weiblich;Werbekauffrau, Hausfrau;FDP;12
11000022;Albowitz-Freytag;Ina;;;;;weiblich;Werbekauffrau, Hausfrau;FDP;13
11000022;Albowitz-Freytag;Ina;;;;;weiblich;Werbekauffrau, Hausfrau;FDP;14
11000023;Albrecht;Ernst;Hamburg;;;;männlich;Kaufmann;CDU;2
11000024;Albrecht;Lisa;;;;;weiblich;Sportlehrerin;SPD;1
11000024;Albrecht;Lisa;;;;;weiblich;Sportlehrerin;SPD;2
11000024;Albrecht;Lisa;;;;;weiblich;Sportlehrerin;SPD;3
11000025;Albrecht;Michael;;;;;männlich;Schulamtsleiter;CDU;11
11000026;Alltschekow;Peter;;;;;männlich;Ministerialrat;SPD;12
11000027;Alten-Nordheim;Odal;;;von;;männlich;Land- und Forstwirt;CDU;6
11000027;Alten-Nordheim;Odal;;;von;;männlich;Land- und Forstwirt;CDU;7
11000028;Althammer;Walter;;;;Dr.;männlich;Rechtsanwalt;CSU;4
11000028;Althammer;Walter;;;;Dr.;männlich;Rechtsanwalt;CSU;5
11000028;Althammer;Walter;;;;Dr.;männlich;Rechtsanwalt;CSU;6
11000028;Althammer;Walter;;;;Dr.;männlich;Rechtsanwalt;CSU;7
11000028;Althammer;Walter;;;;Dr.;männlich;Rechtsanwalt;CSU;8
11000028;Althammer;Walter;;;;Dr.;männlich;Rechtsanwalt;CSU;9
11000028;Althammer;Walter;;;;Dr.;männlich;Rechtsanwalt;CSU;10
11000029;Altherr;Walter;;;;Dr.;männlich;Chirurg;CDU;12
11000030;Altmaier;Jakob;;;;;männlich;Journalist, Schriftsteller;SPD;1
11000030;Altmaier;Jakob;;;;;männlich;Journalist, Schriftsteller;SPD;2
11000030;Altmaier;Jakob;;;;;männlich;Journalist, Schriftsteller;SPD;3
11000030;Altmaier;Jakob;;;;;männlich;Journalist, Schriftsteller;SPD;4
11000031;Altvater;Wilhelm;;;;;männlich;Schiffbauer;SPD;3
11000032;Amelunxen;Rudolf;;;;Dr.;männlich;Jurist (Richter), Verwaltungsbeamter;DZP;1
11000033;Amende;Andreas;;;;;männlich;Lokomotivführer;SPD;11
11000034;Amling;Max;;;;;männlich;Installateur;SPD;7
11000034;Amling;Max;;;;;männlich;Installateur;SPD;8
11000034;Amling;Max;;;;;männlich;Installateur;SPD;9
11000034;Amling;Max;;;;;männlich;Installateur;SPD;10
11000034;Amling;Max;;;;;männlich;Installateur;SPD;11
11000035;Amrehn;Franz;;;;;männlich;Rechtsanwalt und Notar;CDU;6
11000035;Amrehn;Franz;;;;;männlich;Rechtsanwalt und Notar;CDU;7
11000035;Amrehn;Franz;;;;;männlich;Rechtsanwalt und Notar;CDU;8
11000035;Amrehn;Franz;;;;;männlich;Rechtsanwalt und Notar;CDU;9
11000036;Anbuhl;Jürgen;;;;;männlich;Studienrat;SPD;6
11000036;Anbuhl;Jürgen;;;;;männlich;Studienrat;SPD;7
11000037;Anders;Artur;;;;;männlich;Stadtdirektor;SPD;4
11000038;Andres;Gerd;;;;Dr. h. c.;männlich;Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär;SPD;11
11000038;Andres;Gerd;;;;Dr. h. c.;männlich;Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär;SPD;12
11000038;Andres;Gerd;;;;Dr. h. c.;männlich;Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär;SPD;13
11000038;Andres;Gerd;;;;Dr. h. c.;männlich;Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär;SPD;14
11000038;Andres;Gerd;;;;Dr. h. c.;männlich;Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär;SPD;15
11000038;Andres;Gerd;;;;Dr. h. c.;männlich;Maschinenschlosser, Gewerkschaftssekretär, Parl. Staatssekretär;SPD;16
11000039;Angermeyer;Joachim;;;;;männlich;Speditionsunternehmer;FDP;8
11000040;Annies;Dieter;;;;;männlich;Klemtner, Installateurmeister;FDP;11
11000041;Ansorge;Maria;;;;;weiblich;Textilarbeiterin;SPD;1
11000042;Antretter;Robert;;;;;männlich;Landesgeschäftsführer;SPD;9
11000042;Antretter;Robert;;;;;männlich;Landesgeschäftsführer;SPD;10
11000042;Antretter;Robert;;;;;männlich;Landesgeschäftsführer;SPD;11
11000042;Antretter;Robert;;;;;männlich;Landesgeschäftsführer;SPD;12
11000042;Antretter;Robert;;;;;männlich;Landesgeschäftsführer;SPD;13
11000043;Apel;Hans;;;;Dr.;männlich;Bundesminister;SPD;5
11000043;Apel;Hans;;;;Dr.;männlich;Bundesminister;SPD;6
11000043;Apel;Hans;;;;Dr.;männlich;Bundesminister;SPD;7
11000043;Apel;Hans;;;;Dr.;männlich;Bundesminister;SPD;8
11000043;Apel;Hans;;;;Dr.;männlich;Bundesminister;SPD;9
11000043;Apel;Hans;;;;Dr.;männlich;Bundesminister;SPD;10
11000043;Apel;Hans;;;;Dr.;männlich;Bundesminister;SPD;11
11000044;Arendt;Walter;Wattenscheid;;;;männlich;Bundesminister;SPD;4
11000044;Arendt;Walter;Wattenscheid;;;;männlich;Bundesminister;SPD;5
11000044;Arendt;Walter;Wattenscheid;;;;männlich;Bundesminister;SPD;6
11000044;Arendt;Walter;Wattenscheid;;;;männlich;Bundesminister;SPD;7
11000044;Arendt;Walter;Wattenscheid;;;;männlich;Bundesminister;SPD;8
11000044;Arendt;Walter;;;;;männlich;Bundesminister;SPD;4
11000044;Arendt;Walter;;;;;männlich;Bundesminister;SPD;5
11000044;Arendt;Walter;;;;;männlich;Bundesminister;SPD;6
11000044;Arendt;Walter;;;;;männlich;Bundesminister;SPD;7
11000044;Arendt;Walter;;;;;männlich;Bundesminister;SPD;8
11000045;Aretin;Anton;;Freiherr;von;;männlich;Rechtsanwalt;FU;1
11000045;Aretin;Anton;;Freiherr;von;;männlich;Rechtsanwalt;FU;1
11000046;Arndgen;Josef;;;;;männlich;Minister;CDU;1
11000046;Arndgen;Josef;;;;;männlich;Minister;CDU;2
11000046;Arndgen;Josef;;;;;männlich;Minister;CDU;3
11000046;Arndgen;Josef;;;;;männlich;Minister;CDU;4
11000047;Arndt;Adolf;;;;Dr.;männlich;Rechtsanwalt;SPD;1
11000047;Arndt;Adolf;;;;Dr.;männlich;Rechtsanwalt;SPD;2
11000047;Arndt;Adolf;;;;Dr.;männlich;Rechtsanwalt;SPD;3
11000047;Arndt;Adolf;;;;Dr.;männlich;Rechtsanwalt;SPD;4
11000047;Arndt;Adolf;;;;Dr.;männlich;Rechtsanwalt;SPD;5
11000047;Arndt;Adolf;Berlin;;;Dr.;männlich;Rechtsanwalt;SPD;1
11000047;Arndt;Adolf;Berlin;;;Dr.;männlich;Rechtsanwalt;SPD;2
11000047;Arndt;Adolf;Berlin;;;Dr.;männlich;Rechtsanwalt;SPD;3
11000047;Arndt;Adolf;Berlin;;;Dr.;männlich;Rechtsanwalt;SPD;4
