RB_ID,KO_Name
1463,Zimmermann [CDU/CSU]
1488,Gölter [CDU/CSU]
1560,Dr. Kraske [CDU/CSU]
1627,Lemmrich [CDU/CSU]
1659,Ritz [CDU/CSU]
1725,Kohl [CDU/CSU]
1760,Mertes [Gerolstein] [CDU/CSU]
1778,Huyn [CDU/CSU]
1789,Dr. Kohl [CDU/CSU]
1791,Jenninger [CDU/CSU]
1800,Kohl [CDU/CSU]
1845,Dr. Jenninger [CDU/CSU]
1849,Barzel [CDU/CSU]
1852,Mertes [Gerolstein] [CDU/CSU]
1869,weke [CDU/CSU]
1870,Dr. Kohl [CDU/CSU]
1888,Stark [Nürtingen] [CDU/CSU]
1929,Fischer [Frankfurt] [GRÜNE]
1943,Berger [CDU/CSU]
1965,Dr. Vogel [SPD]
1991,Pfeffermann [CDU/CSU]
2004,Damit ist der Einspruch zurückgewiesen. (Lutz [SPD]
2013,Dr. Vogel [SPD]
2036,Frau Schoppe [GRÜNE]
2036,Müntefering [SPD]
2074,Ströbele [GRÜNE]
2081,Feilcke [CDU/CSU]
2094,Frau Fuchs [Köln] [SPD]
2096,Tatge [GRÜNE]
2118,Lamers [CDU/CSU]
2133,Rusche [GRÜNE]
2166,Beckmann [FDP]
2198,Vogel [SPD]
2239,Frau Oesterle-Schwerin [GRÜNE]
2267,Frau Dr. Hartenstein [SPD]
2273,Dr. Bötsch [CDU/CSU]
2281,Frau Matthäus-Maier [SPD]
2295,Sielaff [SPD]
2365,Conradi [SPD]
2368,Nickels [GRÜNE]
2401,Geis [CDU/CSU]
2406,Bohl [CDU/CSU]
2406,Friedrich Bohl [CDU/CSU]
2406,Julius Louven [CDU/CSU]
2408,Klaus Rose [CDU/CSU]
2408,Friedrich Bohl [CDU/CSU]
2411,Kansy [CDU/CSU]
2413,Vogel [SPD]
2415,Anke Fuchs [Köln] [SPD]
2417,Dieter Heistermann [SPD]
2419,Uta Würfel [FDP]
2419,Pfuhl [SPD]
2423,Dr. Wolfgang Bötsch [CDU/CSU]
2427,Vogel [SPD]
2429,Brigitte Schulte [Hameln] [SPD]
2430,Roitzsch [Quickborn] [CDU/CSU]
2434,Weng [Gerlingen] [FDP]
2438,Schäuble [CDU/CSU]
2441,Ulrich Klinkert [CDU/CSU]
2446,Josef Vosen [SPD]
2457,Siegfried Hornung [CDU/CSU]
2458," Ja, es reicht jetzt bald! — Peter Conradi [SPD]: Regierungserklärung! — Dr. Peter Struck [SPD]"
2463,Ernst Hinsken [CDU/CSU]
2465,Wieczorek [Duisburg] [SPD]
2465,Dr. Günther Krause [Börgerende] [CDU/CSU]
2465,Ingrid Matthäus-Maier [SPD]
2474,Hämmerle [SPD]
2480,Gerster [Mainz] [CDU/CSU]
2480,Eduard Oswald [CDU/CSU]
2516,Klein [München] [CDU/CSU]
2520,Horst Sielaff [SPD]
2526,Schäuble [CDU/CSU]
2527,Dieter Wiefelspütz [SPD]
2543,Ingrid Matthäus-Maier [SPD]
2560,Günter Graf [SPD]
2579,Uta Würfel [F.D.P.]
2598,Fuchs [Köln] [SPD]
2604,einen Beifall wert! - Joseph Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2608,Heidemarie Wieczorek-Zeul [SPD]
2610,Büttner [Ingolstadt] [SPD]
2611,Günther Bredehorn [F.D.P.]
2611,Hanna Wolf [SPD]
2613,Otto Schily [SPD]
2613,Detlev von Larcher [SPD]
2615,Leider wahr! - Uta Titze-Stecher [SPD]
2624,Detlev von Larcher [SPD]
2624,Detlev von Larcher [SPD]
2635,Anke Fuchs [Köln] [SPD]
2635,Wird das Wort zur Berichterstattung gewünscht? (Dr. Heribert Blens [CDU/CSU]
2637,Ulrich Irmer [F.D.P.]
2639," Herr Staatsanwalt, Herr Staatsanwalt! - Freimut Duve [SPD]"
2640,Matthäus-Maier [SPD]
2647,Michael Glos [CDU/CSU]
2649,Hans Klein [München] [CDU/CSU]
2653,Anke Fuchs [Köln] [SPD]
2665,Otto Schily [SPD]
2669,Klein [München] [CDU/CSU]
2677,Hans Klein [München] [CDU/CSU]
2677,Fuchs [Verl] [SPD]
2694,Enkelmann [PDS]
2696,Hans Büttner [Ingolstadt] [SPD]
2698,Enkelmann [PDS]
2699,Elke Ferner [SPD]
2699,Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2699, Die richtigen Rahmenbedingungen sind hier gegeben worden! - Horst Sielaff [SPD]
2702,Poß [SPD]
2703,CDU/CSU - Ernst Hinsken [CDU/CSU]
2703,und der PDS - Ina Albowitz [F.D.P.]
2720,Peter Hintze [CDU/CSU]
2722,Westerwelle [F.D.P.]
2723,Klaus Kirschner [SPD]
2737,Lachen bei der SPD - Freimut Duve [SPD]
2739,euch verlassen! - Joachim Poß [SPD]
2742,Hört! - Joachim Hörster [CDU/CSU]
2743,Wieczorek [Duisburg] [SPD]
2758,Detlev von Larcher [SPD]
2758,Hochamt! - Paul K. Friedhoff [F.D.P.]
2758,Schäuble [CDU/CSU]
2760,DIE GRÜNEN - Dr. Uwe Küster [SPD]
2768,Doris Odendahl [SPD]
2772,Sonntag-Wolgast [SPD]
2781,Gerhard Zwerenz [PDS]
2784, Dr. Peter Struck [SPD]
2784,Wilhelm Schmidt [Salzgitter] [SPD]
2790,Ingrid Matthäus-Maier [SPD]
2791,welle [F.D.P.]
2791,Maier [SPD]
2793,Maier [SPD]
2797,PDS – Michael Glos [CDU/CSU]
2798,Ingrid Matthäus-Maier [SPD]
2802,hat das denn? – Walter Hirche [F.D.P.]
2802,Schwanhold [SPD]
2803,schewski [CDU/CSU]
2809,gitter] [SPD]
2813,Waigel [CDU/CSU]
2813,Michael Glos [CDU/CSU]
2816,cher [SPD]
2818,CDU/CSU – Dr. Gregor Gysi [PDS]
2818,Peter Ramsauer [CDU/CSU]
2821,Detlev von Larcher [SPD]
2822,Schwanhold [SPD]
2823,Erler [SPD]
2826,chael Glos [CDU/CSU]
2827,Lachen bei der SPD – Joachim Poß [SPD]
2827,den] [CDU/CSU]
2828,Gleicke [SPD]
2833,Peter Dreßen [SPD]
2833,Susanne Kastner [SPD]
2833,Wilhelm Schmidt [Salzgitter] [SPD]
2838,SPD – Wilhelm Schmidt [Salzgitter] [SPD]
2839,mann [CDU/CSU]
2839,Hörster [CDU/CSU]
2840,DIE GRÜNEN – Michael Glos [CDU/CSU]
2847,denn? – Thomas Rachel [CDU/CSU]
2848,CSU – Dr. Peter Ramsauer [CDU/CSU]
2848,Peter Rauen [CDU/CSU]
2850,Lachen bei der SPD – Peter Dreßen [SPD]
2851,der SPD – Ulla Schmidt [Aachen] [SPD]
2853,DIE GRÜNEN – Jörg Tauss [SPD]
2858,Glos [CDU/CSU]
2860,DIE GRÜNEN – Friedrich Merz [CDU/CSU]
2863,Günther Friedrich Nolting [F.D.P.]
2864,Schmidt [Salzgitter] [SPD]
2868,DIE GRÜNEN – Dr. Günter Rexrodt [F.D.P.]
2868,Hans Georg Wagner [SPD]
2868,Dietrich Austermann [CDU/CSU]
2868,Austermann [CDU/CSU]
2870,DIE GRÜNEN –Michael Glos [CDU/CSU]
2875,DIE GRÜNEN – Joachim Poß [SPD]
2877,Margot von Renesse [SPD]
2878,Schmidt [Salzgitter] [SPD]
2880,ter] [SPD]
2881,Tauss [SPD]
2889,Wilhelm Schmidt [Salzgitter] [SPD]
2890,CSU – Dr. Peter Ramsauer [CDU/CSU]
2899,Ramsauer [CDU/CSU]
2900,Ramsauer [CDU/CSU]
2908,Friedrich Merz [CDU/CSU]
2908,Ludwig Stiegler [SPD]
2914,Michelbach [CDU/CSU]
2915,Wilhelm Schmidt [Salzgitter] [SPD]
2919,Koppelin [FDP]
2921,hembach] [CDU/CSU]
2921,ausgemacht!  Friedrich Merz [CDU/CSU]
2921,Schwaetzer [FDP]
2924,Koppelin [FDP]
2924,der FDP  Dr. Wolfgang Gerhardt [FDP]
2928, Dirk Niebel [FDP]
2928,Friedrich Merz [CDU/CSU]
2930,Gernot Erler [SPD]
2930,Wilhelm Schmidt [Salzgitter] [SPD]
2930,Wilhelm Schmidt [Salzgitter] [SPD]
2932,und bei der SPD – Carl-Ludwig Thiele [FDP]
2932,bank Platz  Friedrich Merz [CDU/CSU]
2933,Michael Glos [CDU/CSU]
2933,bak! – Friedrich Merz [CDU/CSU]
2934,DIE GRÜNEN – Manfred Grund [CDU/CSU]
2934,NIS 90/DIE GRÜNEN – Marita Sehn [FDP]
2934,Michelbach [CDU/CSU]
2934,Michelbach [CDU/CSU]
2937,der FDP – Michael Glos [CDU/CSU]
2938,Gudrun Kopp [FDP]
2938, Ulrich Heinrich [FDP]
2942,bei der CDU/CSU – Michael Glos [CDU/CSU]
2943,Dehnel [CDU/CSU]
2944,PDS – Peter Rauen [CDU/CSU]
2945,DIE GRÜNEN – Michael Glos [CDU/CSU]
2946,Peter Dreßen [SPD]
2946,strand] [CDU/CSU]
2946,Struck [SPD]
2947,DIE GRÜNEN – Jörg Tauss [SPD]
2947,GRÜNEN – Dr. Christian Ruck [CDU/CSU]
2948,Manfred Grund [CDU/CSU]
2955,Gernot Erler [SPD]
2958,Glos [CDU/CSU]
2958,Wilhelm Schmidt [Salzgitter] [SPD]
2958,der FDP – Carl-Ludwig Thiele [FDP]
2958,Rachel [CDU/CSU]
2960,bei der SPD – Eckart von Klaeden [CDU/CSU]
2962,der SPD – Joachim Poß [SPD]
2962,Pflüger [CDU/CSU]
2965,ich an! – Ulrike Mehl [SPD]
2968,Ludwig Stiegler [SPD]
2968,Girisch [CDU/CSU]
2973,Wülfing [CDU/CSU]
2974,von Klaeden [CDU/CSU]
2974,DIE GRÜNEN – Michael Glos [CDU/CSU]
2974,der SPD – Franz Müntefering [SPD]
2978,Hans Michelbach [CDU/CSU]
2979,Ulrike Flach [FDP]
2984,Wilhelm Schmidt [Salzgitter] [SPD]
2987,Wolfgang Zöller [CDU/CSU]
2988,Eckardt [BÜNDNIS 90/DIE GRÜNEN]
2988,DIE GRÜNEN – Volker Kauder [CDU/CSU]
2992,Wilhelm Schmidt [Salzgitter] [SPD]
2992,Hinsken [CDU/CSU]
2992,Kauder [CDU/CSU]
2994,DIE GRÜNEN – Dr. Heinrich L. Kolb [FDP]
2996,Singhammer [CDU/CSU]
2996,Michelbach [CDU/CSU]
2996,Wilhelm Schmidt [Salzgitter] [SPD]
2997,Eckart von Klaeden [CDU/CSU]
2997,Gipfel! – Dr. Heinrich L. Kolb [FDP]
3001,Franz Müntefering [SPD]
3001,Schmidt [Salzgitter] [SPD]
3002,chen! – Ute Kumpf [SPD]
3004,DIE GRÜNEN – Wolfgang Zöller [CDU/CSU]
3004,Kauder [CDU/CSU]
3007,Volker Kauder [CDU/CSU]
3007,Koschyk [CDU/CSU]
3011,da! – Wolfgang Gerhardt [FDP]
3015,Eckart von Klaeden [CDU/CSU]
