RB_ID,KO_Name
155,Dr. Weber [Essen]
160,Etzel [Duisburg]
182, Müller [Frankfurt]
182,Schröder [Düsseldorf]
441,Schröter [Wilmersdorf]
454,Schmidt [Hamburg]
493, Dr. Menzel [zur Regierungsbank zeigend]
514,Schmitt [Vockenhausen]
1106, Franke [Osnabrück]
1126,Marx [Kaiserslautern]
1344,Dr. Schäfer [Tübingen]
1400,Marx [CDU/CSU]
1401,Dr. Carstens [Fehmarn] [CDU/CSU]
1416,Zimmermann [CDU/CSU]
1441,Gölter [CDU/CSU]
1444,Rawe [CDU/CSU]
1450,Müller-Hermann [CDU/CSU]
1468,sich vorher aufgeschrieben?	Dr. Jenninger [CDU/CSU]
1480,Dr. Mertes [Gerolstein] [CDU/CSU]
1494,Reddemann [CDU/CSU]
1495,Mertes [Gerolstein] [CDU/CSU]
1506,Dr. Kraske [CDU/CSU]
1508,Delden [CDU/CSU]
1524,Dr. Jenninger [CDU/CSU]
1533,Dr. Kohl [CDU/CSU]
1548,Schröder [Lüneburg] [CDU/CSU]
1549,Offergeld [SPD]
1553,Graf Huyn [CDU/CSU]
1565,Lemmrich [CDU/CSU]
1575,Wehner [SPD]
1579,mann [CDU/CSU]
1595,Ritz [CDU/CSU]
1637,Kohl [CDU/CSU]
1638,Dr. Wex [CDU/CSU]
1647,Dr. Jenninger [CDU/CSU]
1658,Kohl [CDU/CSU]
1662,Bentrup [CDU/CSU]
1677,Wehner [SPD]
1684,Kohl [CDU/CSU]
1690,Mertes [Gerolstein] [CDU/CSU]
1692,Freiherr von Massenbach [CDU/CSU]
1693,Mertes [Gerolstein] [CDU/CSU]
1696,Bötsch [CDU/CSU]
1699,Kohl [CDU/CSU]
1704,Huyn [CDU/CSU]
1714,Dr. Kohl [CDU/CSU]
1714,Wehner [SPD]
1715,Jenninger [CDU/CSU]
1724,Kohl [CDU/CSU]
1727,Kohl [CDU/CSU]
1734,Dr. Kohl [CDU/CSU]
1736,Dr. Barzel [CDU/CSU]
1741,Dr. Spöri [SPD]
1741,Dr. Marx [CDU/CSU]
1751,Wehner [SPD]
1751,Jenninger [CDU/CSU]
1752,Dr. Möller [CDU/CSU]
1761,Dr. Jenninger [CDU/CSU]
1765,Barzel [CDU/CSU]
1768,Mertes [Gerolstein] [CDU/CSU]
1773,Löffler [SPD]
1776,Möller [CDU/CSU]
1779,Marx [CDU/CSU]
1782,weke [CDU/CSU]
1783,Dr. Kohl [CDU/CSU]
1789,Lambinus [SPD]
1790,Löffler [SPD]
1799,Stark [Nürtingen] [CDU/CSU]
1804,Wehner [SPD]
1804,Dr. Schäuble [CDU/CSU]
1804,Dr. Ehmke [SPD]
1810,Löffler [SPD]
1816,Roth [SPD]
1816,Dr. Spöri [SPD]
1821,Jahn [Marburg] [SPD]
1825,Schily [GRÜNE]
1826,Roth [SPD]
1827,Fischer [Frankfurt] [GRÜNE]
1829,Dr. Marx [CDU/CSU]
1830,Dr. Ehmke [SPD]
1831,Dr. Friedmann [CDU/CSU]
1832,Schily [GRÜNE]
1832,Dr. Marx [CDU/CSU]
1836,Berger [CDU/CSU]
1836,Fischer [Frankfurt] [GRÜNE]
1841,Fischer [Frankfurt] [GRÜNE]
1848,Dr. Hornhues [CDU/CSU]
1848,Dr. Waigel [CDU/CSU]
1848,Kleinert [Hannover] [FDP]
1853,Dr. Vogel [SPD]
1854,Klein [München] [CDU/CSU]
1860,Vogt [Kaiserslautern] [GRÜNE]
1863,Frau Dr. Vollmer [GRÜNE]
1863,Krizsan [GRÜNE]
1864,Frau Potthast [GRÜNE]
1865,Lutz [SPD]
1866,Dregger [CDU/CSU]
1867,Frau Dr. Däubler-Gmelin [SPD]
1871,Pfeffermann [CDU/CSU]
1871,Frau Dr. Vollmer [GRÜNE]
