NAME,ANZAHL BEITRÄGE,WAHLPERIODE,DOKUMENTENART,NR,DATUM
Stratmann (GRÜNE),2,10,PLENARPROTOKOLL,10/1,29.03.1983
Schäuble (CDU/CSU),3,10,PLENARPROTOKOLL,10/1,29.03.1983
Dregger (CDU/CSU),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Barzel (CDU/CSU),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Jahn (Marburg) (SPD),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Vogel (SPD),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Schoppe (GRÜNE),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Wolfgramm (Göttingen) (FDP),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Porzner (SPD),2,10,PLENARPROTOKOLL,10/1,29.03.1983
Burgmann (GRÜNE),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Bötsch (CDU/CSU),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Hoss (GRÜNE),4,10,PLENARPROTOKOLL,10/1,29.03.1983
Renger (SPD),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Stücklen (CDU/CSU),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Westphal (SPD),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Wurbs (FDP),1,10,PLENARPROTOKOLL,10/1,29.03.1983
Kohl (CDU/CSU),1,10,PLENARPROTOKOLL,10/2,29.03.1983
Jahn (Marburg) (SPD),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Fischer (Frankfurt) (GRÜNE),3,10,PLENARPROTOKOLL,10/3,30.03.1983
Schäuble (CDU/CSU),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Potthast (GRÜNE),2,10,PLENARPROTOKOLL,10/3,30.03.1983
Porzner (SPD),2,10,PLENARPROTOKOLL,10/3,30.03.1983
Wolfgramm (Göttingen) (FDP),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Seiters (CDU/CSU),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Hecker (GRÜNE),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Broil (CDU/CSU),3,10,PLENARPROTOKOLL,10/3,30.03.1983
Schäfer (Offenburg) (SPD),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Hirsch (FDP),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Wernitz (SPD),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Laufs (CDU/CSU),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Schneider (Berlin) (GRÜNE),3,10,PLENARPROTOKOLL,10/3,30.03.1983
Niegel (CDU/CSU),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Gmelin (SPD),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Baum (FDP),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Fellner (CDU/CSU),2,10,PLENARPROTOKOLL,10/3,30.03.1983
Schmude (SPD),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Stratmann (GRÜNE),1,10,PLENARPROTOKOLL,10/3,30.03.1983
Vogel (SPD),2,10,PLENARPROTOKOLL,10/4,04.05.1983
Waigel (CDU/CSU),7,10,PLENARPROTOKOLL,10/4,04.05.1983
Oberdorf (GRÜNE),1,10,PLENARPROTOKOLL,10/4,04.05.1983
Ehmke (Bonn) (SPD),1,10,PLENARPROTOKOLL,10/4,04.05.1983
Rühe (CDU/CSU),2,10,PLENARPROTOKOLL,10/4,04.05.1983
Kelly (GRÜNE),5,10,PLENARPROTOKOLL,10/4,04.05.1983
Schäfer (Mainz) (FDP),1,10,PLENARPROTOKOLL,10/4,04.05.1983
Voigt (Frankfurt) (SPD),1,10,PLENARPROTOKOLL,10/4,04.05.1983
Bastian (GRÜNE),3,10,PLENARPROTOKOLL,10/4,04.05.1983
Klein (München) (CDU/CSU),2,10,PLENARPROTOKOLL,10/4,04.05.1983
Büchler (Hof) (SPD),1,10,PLENARPROTOKOLL,10/4,04.05.1983
Lintner (CDU/CSU),2,10,PLENARPROTOKOLL,10/4,04.05.1983
Schneider (Berlin) (GRÜNE),1,10,PLENARPROTOKOLL,10/4,04.05.1983
Ronneburger (FDP),1,10,PLENARPROTOKOLL,10/4,04.05.1983
Reents (GRÜNE),4,10,PLENARPROTOKOLL,10/5,05.05.1983
Schäuble (CDU/CSU),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Hauff (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Wolfgramm (Göttingen) (FDP),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Althammer (CDU/CSU),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Hoffmann (Saarbrücken) (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Hoppe (FDP),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Kleinert (Marburg) (GRÜNE),6,10,PLENARPROTOKOLL,10/5,05.05.1983
Apel (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Börner (Hessen),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Roth (SPD),5,10,PLENARPROTOKOLL,10/5,05.05.1983
Kohl (CDU/CSU),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Stoltenberg (CDU/CSU),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Hauser (Krefeld) (CDU/CSU),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Reuschenbach (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Haussmann (FDP),2,10,PLENARPROTOKOLL,10/5,05.05.1983
Fuchs (Köln) (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
George (CDU/CSU),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Lutz (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Hoss (GRÜNE),4,10,PLENARPROTOKOLL,10/5,05.05.1983
Hoffie (FDP),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Cronenberg (Arnsberg) (FDP),3,10,PLENARPROTOKOLL,10/5,05.05.1983
Ehrenberg (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Cronenberg (FDP),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Waltemathe (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Schmude (SPD),2,10,PLENARPROTOKOLL,10/5,05.05.1983
Fischer (Frankfurt) (GRÜNE),2,10,PLENARPROTOKOLL,10/5,05.05.1983
Miltner (CDU/CSU),6,10,PLENARPROTOKOLL,10/5,05.05.1983
Weisskirchen (Wiesloch) (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Hirsch (FDP),3,10,PLENARPROTOKOLL,10/5,05.05.1983
Schröder (Hannover) (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Schäfer (Offenburg) (SPD),2,10,PLENARPROTOKOLL,10/5,05.05.1983
Ehmke (Ettlingen) (GRÜNE),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Emmerlich (SPD),4,10,PLENARPROTOKOLL,10/5,05.05.1983
Voigt (Frankfurt) (SPD),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Erhard (Bad Schwalbach) (CDU/CSU),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Schoppe (GRÜNE),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Kleinert (Hannover) (FDP),3,10,PLENARPROTOKOLL,10/5,05.05.1983
Kelly (GRÜNE),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Vollmer (GRÜNE),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Seiters (CDU/CSU),1,10,PLENARPROTOKOLL,10/5,05.05.1983
Burgmann (GRÜNE),3,10,PLENARPROTOKOLL,10/6,06.05.1983
Bötsch (CDU/CSU),1,10,PLENARPROTOKOLL,10/6,06.05.1983
Becker (Nienberge) (SPD),1,10,PLENARPROTOKOLL,10/6,06.05.1983
Dregger (CDU/CSU),4,10,PLENARPROTOKOLL,10/6,06.05.1983
Brandt (SPD),1,10,PLENARPROTOKOLL,10/6,06.05.1983
Schily (GRÜNE),1,10,PLENARPROTOKOLL,10/6,06.05.1983
Mischnick (FDP),4,10,PLENARPROTOKOLL,10/6,06.05.1983
Sperling (SPD),2,10,PLENARPROTOKOLL,10/6,06.05.1983
