WP;NACHNAME;VORNAME;BERUF;ANREDE_TITEL;PRAEFIX;ADEL;PARTEI_KURZ;ORTSZUSATZ;GESCHLECHT;ID
1;Adenauer;Konrad;Bundeskanzler;Dr.;;;CDU/CSU;;männlich;11000009
1;Agatz;Willi;Bergmann, Gewerkschaftsfunktionär;;;;KPD;;männlich;11000013
1;Ahrens;Adolf;Kapitän;;;;DP;;männlich;11000015
1;Albers;Johannes;Geschäftsführer;;;;CDU/CSU;;männlich;11000020
1;Albertz;Luise;Buchhalterin;;;;SPD;;weiblich;11000021
1;Albrecht;Lisa;Sportlehrerin;;;;SPD;;weiblich;11000024
1;Altmaier;Jakob;Journalist, Schriftsteller;;;;SPD;;männlich;11000030
1;Amelunxen;Rudolf;Jurist (Richter), Verwaltungsbeamter;Dr.;;;DZP;;männlich;11000032
1;Ansorge;Maria;Textilarbeiterin;;;;SPD;;weiblich;11000041
1;Aretin;Anton;Rechtsanwalt;;von;Freiherr;FU;;männlich;11000045
1;Aretin;Anton;Rechtsanwalt;;von;Freiherr;FU;;männlich;11000045
1;Arndgen;Josef;Minister;;;;CDU/CSU;;männlich;11000046
1;Arndt;Adolf;Rechtsanwalt;Dr.;;;SPD;;männlich;11000047
1;Arndt;Adolf;Rechtsanwalt;Dr.;;;SPD;Berlin;männlich;11000047
1;Arndt;Adolf;Rechtsanwalt;Dr.;;;SPD;Berlin/Köln;männlich;11000047
1;Arnholz;Otto;Verwaltungsbeamter;;;;SPD;;männlich;11000050
1;Arnold;Thea;Rektorin;;;;FU;;weiblich;11000053
1;Arnold;Thea;Rektorin;;;;FU;;weiblich;11000053
1;Arnold;Thea;Rektorin;;;;FU;;weiblich;11000053
1;Atzenroth;Karl;Fabrikant;Dr.;;;FDP;;männlich;11000057
1;Aumer;Hermann;Staatskommissar;;;;BP;;männlich;11000065
1;Aumer;Hermann;Staatskommissar;;;;BP;;männlich;11000065
1;Baade;Fritz;o. Universitätsprofessor;Dr.;;;SPD;;männlich;11000068
