RB_ID,KO_Name,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
1000,Borchert,,,,,,,CDU/CSU,
10039,Uldall,,,,,,,CDU/CSU,
10043,Uldall,,,,,,,CDU/CSU,
1005,Susset,,,,,,,CDU/CSU,
10063,Stiegler,,,,,,,SPD,
1007,Gallus,,,,,,,FDP,
10071,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10073,Burgmann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10079,Burgmann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10081,Burgmann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10083,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10085,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10089,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10094,Duve,,,,,,,SPD,
10096,Kolb,,,,,,,CDU/CSU,
10098,Kolb,,,,,,,CDU/CSU,
10099,Pohlmann,,,,,,,CDU/CSU,
10102,Kolb,,,,,,,CDU/CSU,
10105,Jagoda,,,,,,,CDU/CSU,
10108,Kolb,,,,,,,CDU/CSU,
1011,Hornung,,,,,,,CDU/CSU,
10110,Kansy,,,,Dr.-Ing.,,,CDU/CSU,
10112,Pohlmann,,,,,,,CDU/CSU,
10114,Kolb,,,,,,,CDU/CSU,
10125,Kolb,,,,,,,CDU/CSU,
10127,Jagoda,,,,,,,CDU/CSU,
1013,Niegel,,,,,,,CDU/CSU,
10130,Lutz,,,,,,,SPD,
10131,Kolb,,,,,,,CDU/CSU,
10133,Glombig,,,,,,,SPD,
10135,Kolb,,,,,,,CDU/CSU,
10137,Glombig,,,,,,,SPD,
10139,Kolb,,,,,,,CDU/CSU,
1014,Eigen,,,,,,,CDU/CSU,
10141,Kolb,,,,,,,CDU/CSU,
10142,Louven,,,,,,,CDU/CSU,
10146,George,,,,Dr.,,,CDU/CSU,
10148,Heyenn,,,,,,,SPD,
10150,Fuchs,weiblich,,,,,,SPD,Köln
1016,Eigen,,,,,,,CDU/CSU,
1016,Schorlemer,,,,,von,Freiherr,CDU/CSU,
10160,Bindig,,,,,,,SPD,
10164,With,,,,Dr.,de,,SPD,
10166,Hirsch,,,,Dr.,,,FDP,
1017,Eigen,,,,,,,CDU/CSU,
10170,Voigt,,,,,,,SPD,Frankfurt
1019,Niegel,,,,,,,CDU/CSU,
10193,Bindig,,,,,,,SPD,
10216,Heiterkeit,,,,,,,,
10216,Czaja,,,,Dr.,,,CDU/CSU,
10218,Czaja,,,,Dr.,,,CDU/CSU,
10232,With,,,,Dr.,de,,SPD,
10249,Bindig,,,,,,,SPD,
10250,Roth,,,,,,,SPD,
10266,Dreßler,,,,,,,SPD,
1027,Vollmer,weiblich,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
10274,Weinhofer,,,,,,,SPD,
10278,Steinhauer,weiblich,,,,,,SPD,
1029,Niegel,,,,,,,CDU/CSU,
10293,Dreßler,,,,,,,SPD,
10305,Dreßler,,,,,,,SPD,
10307,Dreßler,,,,,,,SPD,
10315,Kansy,,,,Dr.-Ing.,,,CDU/CSU,
10316,Steger,,,,Dr.,,,SPD,
10318,Steger,,,,Dr.,,,SPD,
10319,Stahl,,,,,,,SPD,Kempen
10321,Stahl,,,,,,,SPD,Kempen
10323,Stahl,,,,,,,SPD,Kempen
10324,Matthöfer,,,,,,,SPD,
10327,Stahl,,,,,,,SPD,Kempen
10329,Steger,,,,Dr.,,,SPD,
1033,Niegel,,,,,,,CDU/CSU,
10331,Probst,,,,Dr.,,,CDU/CSU,
10333,Stahl,,,,,,,SPD,Kempen
10335,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10336,Matthöfer,,,,,,,SPD,
10337,Matthöfer,,,,,,,SPD,
10339,Catenhusen,,,,,,,SPD,
10343,Catenhusen,,,,,,,SPD,
10344,Lenzer,,,,,,,CDU/CSU,
10349,Catenhusen,,,,,,,SPD,
1035,Immer,,,,,,,SPD,Altenkirchen
10353,Stahl,,,,,,,SPD,Kempen
10355,Steger,,,,Dr.,,,SPD,
10362,Bindig,,,,,,,SPD,
10366,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10370,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10372,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10373,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10380,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10387,Boroffka,,,,,,,CDU/CSU,
10391,Laufs,,,,Dr.,,,CDU/CSU,
10392,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10394,Becker,,,,Dr.,,,CDU/CSU,Frankfurt
10395,Boroffka,,,,,,,CDU/CSU,
10397,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10398,Stratmann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
1040,Niegel,,,,,,,CDU/CSU,
10400,Duve,,,,,,,SPD,
10402,Laufs,,,,Dr.,,,CDU/CSU,
10404,Hauff,,,,Dr.,,,SPD,
10406,Duve,,,,,,,SPD,
1041,Immer,,,,,,,SPD,Altenkirchen
10410,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10412,Laufs,,,,Dr.,,,CDU/CSU,
10414,Duve,,,,,,,SPD,
10416,Kunz,,,,Dr.,,,CDU/CSU,Weiden
10418,Laufs,,,,Dr.,,,CDU/CSU,
10420,Söhner,,,,Dr.,,,CDU/CSU,
10422,Kunz,,,,Dr.,,,CDU/CSU,Weiden
10423,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10427,Kunz,,,,Dr.,,,CDU/CSU,Weiden
10428,Schwenninger,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10429,Roth,,,,,,,SPD,
10430,Bindig,,,,,,,SPD,
10432,Luuk,weiblich,,,,,,SPD,
10434,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10436,Schwenninger,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10438,Klein,,,,,,,CDU/CSU,München
10443,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10444,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10446,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10446,Schwenninger,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10447,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10448,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10449,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10451,Niegel,,,,,,,CDU/CSU,
10454,Marx,,,,Dr.,,,CDU/CSU,
10458,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10462,Marx,,,,Dr.,,,CDU/CSU,
10463,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10469,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10471,Voigt,,,,,,,SPD,Frankfurt
10473,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10475,Klein,,,,,,,CDU/CSU,München
10478,Waigel,,,,Dr.,,,CDU/CSU,
10480,Duve,,,,,,,SPD,
10482,Ehmke,,,,Dr.,,,SPD,Bonn
10484,Feilcke,,,,,,,CDU/CSU,
10485,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10486,Ehmke,,,,Dr.,,,SPD,Bonn
10487,Feilcke,,,,,,,CDU/CSU,
10488,Kansy,,,,Dr.-Ing.,,,CDU/CSU,
10496,Horn,,,,,,,SPD,
10497,Ehmke,,,,Dr.,,,SPD,Bonn
10502,Ehmke,,,,Dr.,,,SPD,Bonn
10525,Hupka,,,,Dr.,,,CDU/CSU,
1058,Eigen,,,,,,,CDU/CSU,
10593,Drabiniok,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
1060,Möller,,,,Dr.,,,CDU/CSU,
1062,Erhard,,,,,,,CDU/CSU,Bad Schwalbach
10625,Lambinus,,,,,,,SPD,
10630,Lutz,,,,,,,SPD,
10644,Jannsen,,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
10662,Pfeffermann,,,,,,,CDU/CSU,
10663,Catenhusen,,,,,,,SPD,
10664,Catenhusen,,,,,,,SPD,
1067,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10670,Weinhofer,,,,,,,SPD,
10684,Lambinus,,,,,,,SPD,
107,Biehle,,,,,,,CDU/CSU,
1070,Möller,,,,Dr.,,,CDU/CSU,
10700,Lambinus,,,,,,,SPD,
10706,Hirsch,,,,Dr.,,,FDP,
1071,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10719,Schöfberger,,,,Dr.,,,SPD,
10738,Sperling,,,,Dr.,,,SPD,
1074,Schäuble,,,,Dr.,,,CDU/CSU,
1075,Reents,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
1076,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10767,Waigel,,,,Dr.,,,CDU/CSU,
10768,Waigel,,,,Dr.,,,CDU/CSU,
10769,Horacek,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
1077,Möller,,,,Dr.,,,CDU/CSU,
10770,Dregger,,,,Dr.,,,CDU/CSU,
10779,Waigel,,,,Dr.,,,CDU/CSU,
1078,Schily,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10780,Waigel,,,,Dr.,,,CDU/CSU,
10782,Klein,,,,,,,CDU/CSU,München
10784,Fischer,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Frankfurt
10788,Gansel,,,,,,,SPD,
1080,Sehr richtig! bei der CDU/CSU,,,,,,,CDU/CSU,
1080,Möller,,,,Dr.,,,CDU/CSU,
10801,Klein,,,,,,,CDU/CSU,München
10803,Kunz,,,,Dr.,,,CDU/CSU,Weiden
10805,Gottwald,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10807,Reents,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10809,Klein,,,,,,,CDU/CSU,München
10811,Schwenninger,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
10813,Gansel,,,,,,,SPD,
1082,Laufs,,,,Dr.,,,CDU/CSU,
10822,Hürland,weiblich,,,,,,CDU/CSU,
10829,Gansel,,,,,,,SPD,
10833,Simonis,weiblich,,,,,,SPD,
1084,Möller,,,,Dr.,,,CDU/CSU,
10845,Czaja,,,,Dr.,,,CDU/CSU,
10848,Diederich,,,,Dr.,,,SPD,Berlin
10857,Diederich,,,,Dr.,,,SPD,Berlin
10865,Peter,,,,,,,SPD,Kassel
10881,Meininghaus,,,,,,,SPD,
10882,Meininghaus,,,,,,,SPD,
1089,Duve,,,,,,,SPD,
