RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
112338,Hornung,,,,,,CDU/CSU,
112340,Hornung,,,,,,CDU/CSU,
112342,Vogel,,,Dr.,,,SPD,
112344,Seiler-Albring,,,,,,FDP,
112350,Bötsch,,,Dr.,,,CDU/CSU,
112351,Gysi,,,Dr.,,,DIE LINKE.,
112364,Hellwig,,,Dr.,,,CDU/CSU,
112366,Rüttgers,,,Dr.,,,CDU/CSU,
112370,Duve,,,,,,SPD,
112376,Roitzsch,,,,,,CDU/CSU,Quickborn
112378,Duve,,,,,,SPD,
112380,Jäger,,,,,,CDU/CSU,
112388,Hitschler,,,Dr.,,,FDP,
112389,Rüttgers,,,Dr.,,,CDU/CSU,
112397,Heuer,,,Dr.,,,DIE LINKE.,
112401,Heuer,,,Dr.,,,DIE LINKE.,
112406,Waigel,,,Dr.,,,CDU/CSU,
112408,Seiters,,,,,,CDU/CSU,
112409,Kraus,,,,,,CDU/CSU,
112410,Waigel,,,Dr.,,,CDU/CSU,
112457,Däubler-Gmelin,,,Dr.,,,SPD,
112458,Modrow,,,Dr.,,,DIE LINKE.,
112461,Wegner,,,Dr.,,,SPD,
112462,Weisskirchen,,,,,,SPD,Wiesloch
112464,Däubler-Gmelin,,,Dr.,,,SPD,
112465,Dregger,,,Dr.,,,CDU/CSU,
112491,Gerster,,,,,,CDU/CSU,Mainz
112492,Gerster,,,,,,CDU/CSU,Mainz
112493,Rüttgers,,,Dr.,,,CDU/CSU,
112496,Fuchs,,,,,,SPD,Köln
112500,Vogel,,,Dr.,,,SPD,
112506,Matthäus-Maier,,,,,,SPD,
112509,Weng,,,Dr.,,,FDP,Gerlingen
112510,Conradi,,,,,,SPD,
112512,Breuer,,,,,,CDU/CSU,
112514,Kraus,,,,,,CDU/CSU,
112514,Jobst,,,Dr.,,,CDU/CSU,
112515,Jobst,,,Dr.,,,CDU/CSU,
112521,Conradi,,,,,,SPD,
112522,Lambsdorff,,,Dr.,,Graf,FDP,
112525,Duve,,,,,,SPD,
112529,Faltlhauser,,,Dr.,,,CDU/CSU,
112534,Matthäus-Maier,,,,,,SPD,
112535,Hinsken,,,,,,CDU/CSU,
112541,Stetten,,,Dr.,von,Freiherr,CDU/CSU,
112543,Matthäus-Maier,,,,,,SPD,
112545,Kittelmann,,,,,,CDU/CSU,
112547,Gansel,,,,,,SPD,
112548,Däubler-Gmelin,,,Dr.,,,SPD,
112550,Schmitz,,,,,,CDU/CSU,Baesweiler
112552,Scharrenbroich,,,,,,CDU/CSU,
112553,Schmitz,,,,,,CDU/CSU,Baesweiler
112560,Duve,,,,,,SPD,
112570,Gansel,,,,,,SPD,
112573,Kittelmann,,,,,,CDU/CSU,
112574,Roth,,,,,,SPD,
112575,Jens,,,Dr.,,,SPD,
112577,Gansel,,,,,,SPD,
112579,Bohl,,,,,,CDU/CSU,
112580,Gansel,,,,,,SPD,
112585,Gansel,,,,,,SPD,
112587,Feilcke,,,,,,CDU/CSU,
112596,Weng,,,Dr.,,,FDP,Gerlingen
112597,Roth,,,,,,SPD,
112605,Schäfer,,,,,,SPD,Offenburg
112609,Glos,,,,,,CDU/CSU,
112611,Bötsch,,,Dr.,,,CDU/CSU,
112613,Bötsch,,,Dr.,,,CDU/CSU,
112620,Schäfer,,,,,,SPD,Offenburg
112621,Schäfer,,,,,,SPD,Offenburg
112624,Walther,,,,,,SPD,
112626,Schäfer,,,,,,SPD,Offenburg
112628,Walther,,,,,,SPD,
112629,Roth,,,,,,SPD,
112631,Schmitz,,,,,,CDU/CSU,Baesweiler
112634,Roth,,,,,,SPD,
112635,Vethoff,,,Dr.,,,CDU/CSU,
112637,Hinsken,,,,,,CDU/CSU,
112647,Kansy,,,Dr.-Ing.,,,CDU/CSU,
112651,Baum,,,,,,FDP,
112655,Geißler,,,Dr.,,,CDU/CSU,
112657,Schäfer,,,,,,SPD,Offenburg
112659,Kansy,,,Dr.-Ing.,,,CDU/CSU,
112661,Schäfer,,,,,,SPD,Offenburg
112667,Kansy,,,Dr.-Ing.,,,CDU/CSU,
112671,Enkelmann,,,Dr.,,,DIE LINKE.,
112672,Schmidt,,,,,,SPD,Nürnberg
112674,Kansy,,,Dr.-Ing.,,,CDU/CSU,
112676,Müntefering,,,,,,SPD,
112680,Gilges,,,,,,SPD,
112684,Briefs,,,Dr.,,,DIE LINKE.,
112702,Dreßler,,,,,,SPD,
112720,Kansy,,,Dr.-Ing.,,,CDU/CSU,
112723,Männle,,,,,,CDU/CSU,
112727,Rüttgers,,,Dr.,,,CDU/CSU,
112729,Rüttgers,,,Dr.,,,CDU/CSU,
112731,Geißler,,,Dr.,,,CDU/CSU,
112733,Roth,,,,,,SPD,
112737,Hoyer,,,Dr.,,,FDP,
112741,Müntefering,,,,,,SPD,
112742,Conradi,,,,,,SPD,
112743,Dreßler,,,,,,SPD,
112747,Conradi,,,,,,SPD,
112749,Dreßler,,,,,,SPD,
112755,Kuhlwein,,,,,,SPD,
112758,Bötsch,,,Dr.,,,CDU/CSU,
112761,Laufs,,,Dr.,,,CDU/CSU,
112764,Götte,,,Dr.,,,SPD,
112772,Hinsken,,,,,,CDU/CSU,
112776,Marschewski,,,,,,CDU/CSU,
112783,Geis,,,,,,CDU/CSU,
112789,Geißler,,,Dr.,,,CDU/CSU,
112794,Geis,,,,,,CDU/CSU,
112801,Duve,,,,,,SPD,
112802,Duve,,,,,,SPD,
112805,Duve,,,,,,SPD,
112807,Duve,,,,,,SPD,
112808,Duve,,,,,,SPD,
112812,Duve,,,,,,SPD,
112813,Heuer,,,Dr.,,,DIE LINKE.,
112814,Göhner,,,Dr.,,,CDU/CSU,
112818,Roth,,,,,,SPD,
112832,Jelpke,,,,,,DIE LINKE.,
112845,Bohl,,,,,,CDU/CSU,
112851,Büttner,,,,,,CDU/CSU,
112867,Heuer,,,Dr.,,,DIE LINKE.,
112875,Solms,,,Dr.,,,FDP,
112876,Göhner,,,Dr.,,,CDU/CSU,
112880,Jelpke,,,,,,DIE LINKE.,
112884,Hornung,,,,,,CDU/CSU,
112893,Dreßler,,,,,,SPD,
112895,Geißler,,,Dr.,,,CDU/CSU,
112898,Andres,,,,,,SPD,
112904,Geißler,,,Dr.,,,CDU/CSU,
112906,Geißler,,,Dr.,,,CDU/CSU,
112907,Schreiner,,,,,,SPD,
112908,Heyenn,,,,,,SPD,
112912,Feilcke,,,,,,CDU/CSU,
112918,Kirschner,,,,,,SPD,
112922,Andres,,,,,,SPD,
112924,Blüm,,,Dr.,,,CDU/CSU,
112930,Blüm,,,Dr.,,,CDU/CSU,
112935,Blüm,,,Dr.,,,CDU/CSU,
112937,Dreßler,,,,,,SPD,
112941,Heinrich,,,,,,FDP,
112943,Büttner,,,,,,SPD,
112945,Dreßler,,,,,,SPD,
112947,Peter,,,,,,SPD,Kassel
112947,Dreßler,,,,,,SPD,
112949,Voigt,,,Dr.,,,CDU/CSU,Northeim
112951,Dreßler,,,,,,SPD,
112953,Dreßler,,,,,,SPD,
112954,Bergmann-Pohl,,,Dr.,,,CDU/CSU,Berg
112956,Dreßler,,,,,,SPD,
112961,Peter,,,,,,SPD,Kassel
112965,Reddemann,,,,,,CDU/CSU,
112977,Reddemann,,,,,,CDU/CSU,
112988,Opel,,,,,,SPD,
113016,Opel,,,,,,SPD,
113021,Opel,,,,,,SPD,
113035,Seifert,,,Dr.,,,DIE LINKE.,
113044,Klose,,,,,,SPD,
113047,Klose,,,,,,SPD,
113056,Klose,,,,,,SPD,
113058,Reddemann,,,,,,CDU/CSU,
113059,Modrow,,,Dr.,,,DIE LINKE.,
113062,Bindig,,,,,,SPD,
113063,Reddemann,,,,,,CDU/CSU,
113076,Enkelmann,,,Dr.,,,DIE LINKE.,
113078,Höll,,,Dr.,,,DIE LINKE.,
113086,Opel,,,,,,SPD,
113112,Lowack,,,,,,CDU/CSU,
113126,Bulmahn,,,,,,SPD,
113166,Keller,,,Dr.,,,DIE LINKE.,
113195,Wetzel,,,Dr.,,,SPD,
113207,Opel,,,,,,SPD,
113222,Kansy,,,Dr.-Ing.,,,CDU/CSU,
113223,Müntefering,,,,,,SPD,
113226,Kansy,,,Dr.-Ing.,,,CDU/CSU,
113228,Conradi,,,,,,SPD,
113230,Kansy,,,Dr.-Ing.,,,CDU/CSU,
113232,Müntefering,,,,,,SPD,
113233,Hitschler,,,Dr.,,,FDP,
113234,Müntefering,,,,,,SPD,
113238,Großmann,,,,,,SPD,
113242,Müntefering,,,,,,SPD,
113244,Lucyga,,,Dr.,,,SPD,
113248,Kansy,,,Dr.-Ing.,,,CDU/CSU,
113252,Großmann,,,,,,SPD,
113256,Conradi,,,,,,SPD,
113259,Müntefering,,,,,,SPD,
113262,Rose,,,Dr.,,,CDU/CSU,
113264,Glos,,,,,,CDU/CSU,
113265,Uldall,,,,,,CDU/CSU,
113267,Esters,,,,,,SPD,
